Student ID,Surname,First name,Email address,Laboratory,Assignment: Assignment_1 (Real),Assignment: Assignment_2 (Real),Assignment: Project (Real),Assignment: Assignment_3 (Real),Midterm (Real),Assignment: Assignment_4 (Real),External tool: Final Exam COMP (Real),Last downloaded from this course
,,,,,0,0,-,0,7.5,0,18,
,,,,,99.6,100,80,97.7,81.25,0,34,
,,,,,73.9,56.2,75,75.9,56.25,75,29,
,,,,,80,98.3,80,95.9,72.5,0,42,
,,,,,82.5,0,-,0,26.25,0,-,
,,,,,78.5,46.6,70,83.6,41.25,94.4,41,
,,,,,94.2,100,100,100,76.25,100,44,
,,,,,99.6,100,100,100,95,0,43,
,,,,,0,62.9,80,77.7,48.75,63.9,38,
,,,,,100,94.6,100,63.6,60,0,41,
,,,,,96,90.4,100,0,90,97.2,42,
,,,,,97.3,100,100,96.4,92.5,0,40,
,,,,,83.5,100,100,74.1,85,100,37,
,,,,,88,100,100,85,77.5,100,30,
,,,,,79.2,97.7,95,94,87.5,0,38,
,,,,,46.7,83.7,85,97.7,60,94.4,30,
,,,,,96,100,100,100,92.5,0,44,
,,,,,80.3,74.4,75,87.3,47.5,0,33,
,,,,,97.8,100,100,100,92.5,0,51,
,,,,,89.8,100,95,97.7,81.25,0,45,
,,,,,100,100,100,100,97.5,0,34,
,,,,,63.9,0,45,92.7,55,97.2,43,
,,,,,73.5,94.6,100,0,66.25,0,33,
,,,,,100,61.2,65,0,77.5,70.6,41,
,,,,,53.9,0,80,75.9,50,83.3,37,
,,,,,81.8,91.4,100,56.8,65,88.9,32,
,,,,,100,100,100,100,82.5,0,49,
,,,,,78,77.3,85,0,68.75,100,34,
,,,,,96,92.5,100,100,85,0,42,
,,,,,93.7,100,70,97.7,76.25,86.1,37,
,,,,,94.6,91.6,85,100,88.75,0,43,
,,,,,91,95.4,90,100,72.5,0,39,
,,,,,66.6,74.6,80,65,57.5,94.4,31,
,,,,,89.6,33.1,80,40,55,76.1,35,
,,,,,96,100,90,100,93.75,100,42,
,,,,,100,94.6,100,94.1,82.5,100,43,
,,,,,75.36,0,85,0,72.5,83.3,34,
,,,,,76.2,85.6,85,92.3,63.75,91.7,38,
,,,,,89.3,0,100,83.2,75,83.3,37,
,,,,,96.4,96.4,45,84.5,71.25,0,37,
,,,,,91.9,100,100,49.1,60,83.3,39,
,,,,,0,94.6,60,81.4,75,100,42,
,,,,,100,100,95,100,95,0,42,
,,,,,99.64,98.3,95,100,100,0,40,
,,,,,99.6,100,90,100,88,0,41,
,,,,,0,92.5,85,0,73.75,0,42,
,,,,,76.6,0,100,97.7,15,75,24,
,,,,,100,100,100,81.4,72.5,91.7,32,
,,,,,21,92,60,94.1,58.75,81.9,41,
,,,,,0,0,-,92.7,57.5,0,31,
,,,,,94.2,99.4,95,94.1,67.5,0,41,
,,,,,87,70.2,65,83.2,75,0,32,
,,,,,81.6,45,80,0,78.75,42.8,35,
,,,,,92.8,100,100,100,88.75,0,34,
,,,,,85.3,90,75,81.4,72.5,88.9,36,
,,,,,85.7,93.3,70,97.7,45,0,37,
,,,,,100,100,95,100,93.75,0,40,
,,,,,0,56.9,80,52.7,28.75,75,37,
,,,,,0,95,30,81.4,93.75,0,42,
,,,,,100,100,85,0,68.75,0,39,
,,,,,100,0,60,0,53.75,87.5,42,
,,,,,100,100,100,100,97.5,0,37,
,,,,,91.4,97.5,90,100,73.75,0,40,
,,,,,82.5,91.6,90,0,62.5,86.1,40,
,,,,,100,100,100,100,80,88.9,49,
,,,,,84.3,85.2,90,70.9,41.25,0,42,
,,,,,87.5,93.3,70,100,48.75,0,38,
,,,,,100,100,100,100,86.25,0,43,
,,,,,87.5,89.2,80,88.6,76.25,0,37,
,,,,,99.6,100,100,100,90,0,43,
,,,,,100,77.9,100,85,72.5,100,40,
,,,,,96.4,80.8,95,83.6,57.5,0,41,
,,,,,89.8,100,85,100,55,94.4,34,
,,,,,100,100,100,100,82.5,100,41,
,,,,,92.8,100,85,92.3,87.5,80.6,41,
,,,,,100,100,100,96.8,81.25,0,42,
,,,,,88,100,100,86.8,80,97.2,36,
,,,,,99.6,100,100,100,80,100,42,
,,,,,60,0,-,0,36.25,0,1,
,,,,,93.4,66.6,95,95.9,88.75,86.1,42,
,,,,,49,85.6,60,95.9,52.5,75,31,
,,,,,92.5,100,85,71.4,56.25,86.1,35,
,,,,,84.3,100,95,86.8,95,88.9,38,
,,,,,100,100,100,92.3,78.75,0,42,
,,,,,100,88.3,100,100,65,77.8,30,
,,,,,92.5,100,95,100,72.5,0,40,
,,,,,96,88.3,95,100,90,0,41,
,,,,,20.3,0,-,0,25,0,-,
,,,,,100,100,95,100,90,0,45,
,,,,,66,92,80,43.2,63.75,77.8,34,
,,,,,60.7,0,65,46.8,22.5,86.1,29,
,,,,,100,100,100,100,90,0,38,
,,,,,75.3,98.3,60,100,85,0,41,
,,,,,68.5,37.5,75,63.2,83.75,0,39,
,,,,,96.4,100,100,100,83.75,0,49,
,,,,,100,100,85,100,71.25,0,41,
,,,,,90.7,100,80,95.9,66.25,100,37,
,,,,,97.8,100,85,85,65,88.9,42,
,,,,,63.2,91.2,95,73.2,85,88.9,40,
,,,,,78.5,64.2,95,92.3,55,0,34,
,,,,,98.2,100,100,100,75,100,40,
,,,,,100,100,100,100,66.25,0,40,
,,,,,86,0,-,94.5,60,0,-,
,,,,,97.8,100,100,100,90,0,45,
,,,,,0,0,85,0,35,0,39,
,,,,,100,100,100,97.7,90,87.5,45,
,,,,,100,100,100,100,38.75,0,37,
,,,,,87.5,99.6,100,100,76.5,0,39,
,,,,,100,100,100,100,95,0,47,
,,,,,100,100,85,100,70,0,41,
,,,,,96.4,100,100,90.4,91.25,0,43,
,,,,,100,100,100,100,90,0,41,
,,,,,90.7,84.2,50,80,72.5,0,37,
,,,,,99.6,100,100,100,60,0,47,
,,,,,100,100,100,88.6,77.5,77.8,41,
