Student ID,Surname,First name,Email address,Laboratory,Assignment: Assignment_1 (Real),Assignment: Assignment_2 (Real),Assignment: Project (Real),Assignment: Assignment_3 (Real),Midterm (Real),Assignment: Assignment_4 (Real),External tool: Final Exam COMP (Real),Last downloaded from this course,total,Letter Grade
,,,,,0.10,0.10,0.25,0.10,0.25,0.10,0.10,,55.90,D
,,,,,0.10,0.10,0.25,0.03,0.39,0.03,0.10,,66.75,C
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,85.08,A
,,,,,0.10,0.10,0.25,0.10,0.25,0.10,0.10,,69.06,C+
,,,,,0.10,0.10,0.25,0.03,0.39,0.03,0.10,,91.33,A+
,,,,,0.10,0.10,0.24,0.03,0.40,0.03,0.10,,76.44,B
,,,,,0.10,0.03,0.25,0.10,0.32,0.10,0.10,,62.23,C-
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,67.84,C+
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,70.52,B-
,,,,,0.10,0.03,0.25,0.09,0.40,0.03,0.10,,71.88,B-
,,,,,0.03,0.03,0.25,0.10,0.39,0.10,0.10,,75.13,B
,,,,,0.03,0.10,0.25,0.09,0.40,0.03,0.10,,84.48,A-
,,,,,0.10,0.10,0.10,0.10,0.40,0.03,0.17,,70.01,B-
,,,,,0.10,0.10,0.25,0.03,0.32,0.10,0.10,,79.32,B+
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,78.51,B+
,,,,,0.03,0.09,0.25,0.03,0.40,0.10,0.10,,74.64,B
,,,,,0.10,0.10,0.10,0.10,0.40,0.10,0.10,,71.98,B-
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,89.90,A
,,,,,0.10,0.10,0.17,0.03,0.40,0.10,0.10,,64.70,C
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,78.85,B+
,,,,,0.10,0.10,0.17,0.03,0.40,0.10,0.10,,70.10,B-
,,,,,0.10,0.03,0.25,0.10,0.32,0.10,0.10,,56.40,D
,,,,,0.10,0.03,0.24,0.10,0.40,0.03,0.10,,46.43,F
,,,,,0.10,0.10,0.25,0.03,0.32,0.10,0.10,,69.12,C+
,,,,,0.03,0.10,0.25,0.10,0.32,0.10,0.10,,89.85,A
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,90.40,A+
,,,,,0.10,0.03,0.25,0.10,0.10,0.10,0.32,,65.21,C
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,80.19,A-
,,,,,0.10,0.10,0.10,0.10,0.40,0.03,0.17,,62.32,C-
,,,,,0.10,0.03,0.25,0.03,0.39,0.10,0.10,,71.02,B-
,,,,,0.10,0.10,0.25,0.03,0.39,0.03,0.10,,66.84,C
,,,,,0.10,0.10,0.25,0.03,0.32,0.10,0.10,,79.26,B+
,,,,,0.10,0.10,0.25,0.10,0.25,0.10,0.10,,81.21,A-
,,,,,0.10,0.10,0.25,0.10,0.25,0.10,0.10,,81.10,A-
,,,,,0.10,0.03,0.25,0.09,0.10,0.03,0.40,,37.00,F
,,,,,0.10,0.10,0.25,0.03,0.32,0.10,0.10,,79.00,B+
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,75.08,B
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,84.70,A-
,,,,,0.10,0.10,0.25,0.10,0.25,0.10,0.10,,63.13,C
,,,,,0.10,0.10,0.25,0.10,0.10,0.03,0.32,,53.17,D
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,85.85,A
,,,,,0.10,0.10,0.25,0.10,0.25,0.10,0.10,,61.95,C-
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,78.24,B+
,,,,,0.03,0.03,0.25,0.10,0.39,0.10,0.10,,83.29,A-
,,,,,0.10,0.10,0.25,0.10,0.25,0.10,0.10,,86.17,A
,,,,,0.10,0.10,0.17,0.10,0.40,0.03,0.10,,87.95,A
,,,,,0.10,0.03,0.25,0.10,0.39,0.03,0.10,,81.49,A-
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,86.95,A
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,70.73,B-
,,,,,0.10,0.10,0.10,0.10,0.40,0.03,0.17,,77.43,B+
,,,,,0.10,0.10,0.25,0.03,0.32,0.10,0.10,,78.14,B+
,,,,,0.03,0.03,0.25,0.10,0.10,0.10,0.39,,42.19,F
,,,,,0.03,0.10,0.25,0.03,0.40,0.09,0.10,,69.24,C+
,,,,,0.10,0.10,0.25,0.03,0.32,0.10,0.10,,85.74,A
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,81.39,A-
,,,,,0.10,0.10,0.25,0.03,0.32,0.10,0.10,,83.00,A-
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,72.34,B-
,,,,,0.10,0.03,0.24,0.03,0.40,0.10,0.10,,82.86,A-
,,,,,0.10,0.10,0.25,0.10,0.25,0.10,0.10,,94.24,A+
,,,,,0.10,0.03,0.25,0.03,0.40,0.09,0.10,,61.83,C-
,,,,,0.10,0.03,0.25,0.03,0.39,0.10,0.10,,50.99,D-
,,,,,0.10,0.03,0.24,0.03,0.40,0.10,0.10,,87.67,A
,,,,,0.10,0.10,0.25,0.03,0.39,0.03,0.10,,66.65,C
,,,,,0.10,0.10,0.25,0.10,0.25,0.10,0.10,,66.55,C
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,88.10,A
,,,,,0.10,0.10,0.25,0.10,0.25,0.10,0.10,,78.56,B+
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,64.62,C
,,,,,0.10,0.10,0.25,0.10,0.25,0.10,0.10,,70.24,B-
,,,,,0.10,0.10,0.10,0.10,0.40,0.10,0.10,,62.64,C-
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,71.44,B-
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,81.02,A-
,,,,,0.10,0.10,0.24,0.03,0.40,0.03,0.10,,81.69,A-
,,,,,0.03,0.03,0.25,0.10,0.39,0.10,0.10,,68.58,C+
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,85.70,A
,,,,,0.10,0.10,0.17,0.10,0.40,0.03,0.10,,78.39,B+
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,82.01,A-
,,,,,0.10,0.10,0.25,0.03,0.32,0.10,0.10,,64.48,C
,,,,,0.03,0.10,0.25,0.10,0.39,0.03,0.10,,77.34,B+
,,,,,0.10,0.10,0.17,0.03,0.40,0.10,0.10,,74.30,B
,,,,,0.10,0.03,0.25,0.10,0.39,0.03,0.10,,80.64,A-
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,79.90,B+
,,,,,0.03,0.03,0.25,0.03,0.40,0.03,0.23,,47.65,F
,,,,,0.10,0.10,0.17,0.10,0.40,0.03,0.10,,87.70,A
,,,,,0.10,0.10,0.25,0.10,0.25,0.10,0.10,,73.58,B
,,,,,0.10,0.10,0.25,0.03,0.32,0.10,0.10,,67.16,C+
,,,,,0.10,0.10,0.10,0.10,0.40,0.10,0.10,,69.41,C+
,,,,,0.10,0.10,0.25,0.10,0.25,0.10,0.10,,87.87,A
,,,,,0.10,0.03,0.25,0.03,0.39,0.10,0.10,,71.92,B-
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,87.90,A
,,,,,0.10,0.10,0.10,0.10,0.40,0.03,0.17,,57.05,D+
,,,,,0.10,0.10,0.25,0.03,0.39,0.03,0.10,,84.13,A-
,,,,,0.10,0.10,0.17,0.10,0.40,0.03,0.10,,67.44,C+
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,86.18,A
,,,,,0.10,0.10,0.25,0.10,0.25,0.10,0.10,,83.65,A-
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,72.85,B-
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,85.15,A
,,,,,0.10,0.10,0.25,0.03,0.39,0.03,0.10,,91.37,A+
,,,,,0.10,0.10,0.25,0.10,0.25,0.10,0.10,,65.22,C
,,,,,0.10,0.10,0.17,0.03,0.40,0.10,0.10,,75.20,B
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,74.43,B
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,88.19,A
,,,,,0.10,0.10,0.10,0.10,0.40,0.10,0.10,,64.00,C
,,,,,0.10,0.03,0.25,0.10,0.32,0.10,0.10,,58.62,D+
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,88.77,A
,,,,,0.03,0.03,0.10,0.03,0.38,0.03,0.40,,10.05,F
,,,,,0.10,0.10,0.17,0.10,0.40,0.03,0.10,,79.23,B+
,,,,,0.10,0.03,0.25,0.10,0.32,0.10,0.10,,63.82,C
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,74.82,B
,,,,,0.10,0.03,0.24,0.10,0.40,0.03,0.10,,18.75,F
,,,,,0.10,0.10,0.25,0.10,0.25,0.10,0.10,,62.22,C-
,,,,,0.10,0.10,0.25,0.10,0.25,0.10,0.10,,87.88,A
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,89.66,A
,,,,,0.03,0.10,0.25,0.10,0.32,0.10,0.10,,59.85,D+
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,74.12,B
,,,,,0.10,0.10,0.25,0.03,0.32,0.10,0.10,,86.36,A
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,87.97,A
,,,,,0.03,0.10,0.25,0.03,0.39,0.10,0.10,,86.58,A
,,,,,0.10,0.10,0.25,0.10,0.25,0.10,0.10,,84.68,A-
,,,,,0.03,0.10,0.25,0.10,0.39,0.03,0.10,,83.22,A-
,,,,,0.03,0.10,0.25,0.10,0.32,0.10,0.10,,72.43,B-
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,88.60,A
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,61.45,C-
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,89.48,A
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,83.00,A-
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,89.60,A
,,,,,0.10,0.03,0.17,0.10,0.40,0.10,0.10,,59.33,D+
,,,,,0.10,0.10,0.25,0.03,0.39,0.03,0.10,,70.95,B-
,,,,,0.10,0.03,0.24,0.03,0.40,0.10,0.10,,69.60,C+
,,,,,0.10,0.03,0.25,0.10,0.32,0.10,0.10,,61.01,C-
,,,,,0.10,0.10,0.25,0.03,0.32,0.10,0.10,,76.91,B
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,86.30,A
,,,,,0.10,0.10,0.25,0.03,0.32,0.10,0.10,,72.18,B-
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,85.25,A
,,,,,0.10,0.10,0.10,0.10,0.40,0.10,0.10,,78.95,B+
,,,,,0.10,0.10,0.17,0.10,0.40,0.03,0.10,,82.87,A-
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,78.24,B+
,,,,,0.10,0.10,0.25,0.10,0.25,0.10,0.10,,67.54,C+
,,,,,0.10,0.03,0.25,0.03,0.39,0.10,0.10,,63.71,C
,,,,,0.10,0.10,0.10,0.10,0.40,0.10,0.10,,90.30,A+
,,,,,0.10,0.10,0.25,0.10,0.25,0.10,0.10,,88.80,A
,,,,,0.10,0.03,0.25,0.03,0.39,0.10,0.10,,68.79,C+
,,,,,0.10,0.10,0.25,0.10,0.25,0.10,0.10,,75.57,B
,,,,,0.10,0.03,0.25,0.10,0.32,0.10,0.10,,78.28,B+
,,,,,0.10,0.10,0.17,0.10,0.40,0.03,0.10,,67.58,C+
,,,,,0.10,0.10,0.25,0.03,0.32,0.10,0.10,,77.09,B+
,,,,,0.03,0.10,0.17,0.10,0.40,0.10,0.10,,72.00,B-
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,88.35,A
,,,,,0.10,0.10,0.17,0.10,0.40,0.03,0.10,,89.94,A
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,84.72,A-
,,,,,0.03,0.10,0.25,0.03,0.40,0.03,0.16,,66.72,C
,,,,,0.10,0.03,0.25,0.10,0.10,0.10,0.32,,59.11,D+
,,,,,0.10,0.10,0.25,0.10,0.25,0.10,0.10,,83.64,A-
,,,,,0.03,0.10,0.25,0.10,0.32,0.10,0.10,,65.33,C
,,,,,0.03,0.03,0.10,0.10,0.40,0.03,0.31,,41.88,F
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,78.22,B+
,,,,,0.10,0.10,0.17,0.10,0.40,0.03,0.10,,68.29,C+
,,,,,0.10,0.09,0.25,0.03,0.40,0.03,0.10,,68.49,C+
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,86.08,A
,,,,,0.10,0.10,0.25,0.10,0.25,0.10,0.10,,75.04,B
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,63.27,C
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,87.75,A
,,,,,0.03,0.10,0.25,0.10,0.10,0.10,0.32,,53.18,D
,,,,,0.03,0.10,0.10,0.10,0.40,0.03,0.24,,68.22,C+
,,,,,0.10,0.10,0.25,0.03,0.39,0.03,0.10,,71.96,B-
,,,,,0.10,0.03,0.25,0.03,0.39,0.10,0.10,,58.91,D+
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,89.90,A
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,78.99,B+
,,,,,0.10,0.10,0.25,0.03,0.32,0.10,0.10,,72.52,B-
,,,,,0.10,0.10,0.25,0.10,0.25,0.10,0.10,,88.79,A
,,,,,0.10,0.10,0.25,0.10,0.10,0.03,0.32,,64.11,C
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,64.98,C
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,86.90,A
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,74.63,B
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,88.06,A
,,,,,0.10,0.10,0.25,0.10,0.25,0.10,0.10,,83.41,A-
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,72.33,B-
,,,,,0.10,0.10,0.25,0.10,0.25,0.10,0.10,,76.82,B
,,,,,0.10,0.10,0.25,0.10,0.25,0.10,0.10,,89.73,A
,,,,,0.10,0.10,0.17,0.10,0.40,0.03,0.10,,84.48,A-
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,84.88,A-
,,,,,0.10,0.10,0.25,0.10,0.25,0.10,0.10,,85.80,A
,,,,,0.10,0.10,0.25,0.10,0.25,0.10,0.10,,89.16,A
,,,,,0.10,0.03,0.10,0.03,0.40,0.03,0.31,,20.81,F
,,,,,0.10,0.03,0.25,0.10,0.39,0.03,0.10,,86.07,A
,,,,,0.03,0.10,0.25,0.10,0.32,0.10,0.10,,62.02,C-
,,,,,0.10,0.10,0.25,0.10,0.25,0.10,0.10,,73.81,B
,,,,,0.03,0.10,0.25,0.03,0.40,0.09,0.10,,88.68,A
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,83.63,A-
,,,,,0.10,0.10,0.25,0.10,0.25,0.10,0.10,,80.86,A-
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,80.20,A-
,,,,,0.10,0.03,0.25,0.10,0.39,0.03,0.10,,85.20,A
,,,,,0.10,0.03,0.24,0.10,0.40,0.03,0.10,,12.03,F
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,87.05,A
,,,,,0.10,0.10,0.25,0.03,0.32,0.10,0.10,,68.68,C+
,,,,,0.10,0.03,0.25,0.10,0.10,0.10,0.32,,47.14,F
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,87.60,A
,,,,,0.10,0.10,0.17,0.10,0.40,0.03,0.10,,75.66,B
,,,,,0.10,0.03,0.25,0.09,0.40,0.03,0.10,,69.81,C+
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,86.34,A
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,78.15,B+
,,,,,0.10,0.10,0.25,0.10,0.25,0.10,0.10,,78.92,B+
,,,,,0.10,0.10,0.25,0.10,0.25,0.10,0.10,,78.87,B+
,,,,,0.03,0.10,0.25,0.03,0.39,0.10,0.10,,83.00,A-
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,68.25,C+
,,,,,0.10,0.10,0.25,0.10,0.25,0.10,0.10,,87.57,A
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,80.20,A-
,,,,,0.10,0.03,0.24,0.10,0.40,0.03,0.10,,42.05,F
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,88.08,A
,,,,,0.03,0.03,0.25,0.03,0.23,0.03,0.40,,44.90,F
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,90.70,A+
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,71.10,B-
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,82.09,A-
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,90.10,A+
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,77.75,B+
,,,,,0.10,0.10,0.25,0.03,0.39,0.03,0.10,,87.24,A
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,87.90,A
,,,,,0.10,0.10,0.17,0.10,0.40,0.03,0.10,,66.69,C
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,78.86,B+
,,,,,0.10,0.10,0.25,0.10,0.25,0.10,0.10,,85.12,A
